,ASY_SVC_TYP_CD,Alpha,BidNumber,Bid_District,Bid_List_Rev_Wkly,Bid_Region,Bid_Request_Reason_Descr,Comp_Incentive,Constraints,DAS,Eff_Off_Incentive_Diff_Estimate,Flag,Gamma,Gross_OR_Ratio,Incentive_Freight,Ind_Dominant_Industry,List_Rev_Wkly,LowerBoundBind,LowerBoundType,LowerBoundValue,MVM_DRC_CD,Marginal_Cost_wkly,MktInc,NCV_DTR_DAT_TYP_CD,NetRev_-0.01,NetRev_-0.02,NetRev_0,NetRev_0.01,NetRev_0.02,Obj_-0.01,Obj_-0.02,Obj_0,Obj_0.01,Obj_0.02,Optimal_UPSInc,Optimal_UPSInc_-0.01,Optimal_UPSInc_-0.02,Optimal_UPSInc_0,Optimal_UPSInc_0.01,Optimal_UPSInc_0.02,Overall_Incentive,PTWonBid_-0.01,PTWonBid_-0.02,PTWonBid_0,PTWonBid_0.01,PTWonBid_0.02,PTWonbid_optimal,Pct_Rev_Freight,PriorInctest,Prior_Incentive,Product,Product_Mode,Profit_-0.01,Profit_-0.02,Profit_0,Profit_0.01,Profit_0.02,RESI,RelBoundBind,SVC_FEA_TYP_CD,SVC_GRP_NR,SVM_TYP_CD,TP1_High,TP1_Low,TP1_Target,Target_High,Target_High_Shown_IWA,Target_Low,UpperBoundBind,UpperBoundType,UpperBoundValue,Weight_PriceDiscip,Weight_Volume,ceiling,index,Timestamp
0,,-0.475085675436,P280032823,86,40107.889649,03,CONVERSION,0.677701734726,True,,-0.00787954314529,0.0,-0.816605740095,0.239491461631,0.7,High Tech,160.24465535,0.0,l_MktPR,0.443371318141,N,38.3772267283,0.554697054513,,21.1610107011,20.1433723091,22.2100979675,23.292387669,24.4097790331,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.689921929925,0.679921929925,0.699921929925,0.709921929925,0.719921929925,0.699921929925,0.455237422849,0.44881723025,0.46188372834,0.468769561518,0.47590950076,0.46188372834,0.992022816941,0.02,0.0,1DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SCX,AMLYHYV,1DA,0.72,0.71,0.0,0.71,0.7,0.65,0.0,u_Ceiling,0.7,0.1,0.4,0.7,6,2018-04-19 11:13
1,,-0.475085675436,P280032823,86,40107.889649,03,CONVERSION,0.677701734726,True,,-0.00787954314529,0.0,-0.816605740095,0.239491461631,0.7,High Tech,160.24465535,0.0,l_MktPR,0.443371318141,N,38.3772267283,0.554697054513,,21.1610107011,20.1433723091,22.2100979675,23.292387669,24.4097790331,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.689921929925,0.679921929925,0.699921929925,0.709921929925,0.719921929925,0.699921929925,0.455237422849,0.44881723025,0.46188372834,0.468769561518,0.47590950076,0.46188372834,0.992022816941,0.02,0.0,1DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SCX,AMLYHYW,1DA,0.72,0.71,0.0,0.71,0.7,0.65,0.0,u_Ceiling,0.7,0.1,0.4,0.7,6,2018-04-19 11:13
2,,-0.475085675436,P280032823,86,40107.889649,03,CONVERSION,0.677701734726,True,,-0.00787954314529,0.0,-0.816605740095,0.239491461631,0.7,High Tech,160.24465535,0.0,l_MktPR,0.443371318141,N,38.3772267283,0.554697054513,,21.1610107011,20.1433723091,22.2100979675,23.292387669,24.4097790331,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.689921929925,0.679921929925,0.699921929925,0.709921929925,0.719921929925,0.699921929925,0.455237422849,0.44881723025,0.46188372834,0.468769561518,0.47590950076,0.46188372834,0.992022816941,0.02,0.0,1DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SCX,AMLYHYX,1DP,0.72,0.71,0.0,0.71,0.7,0.65,0.0,u_Ceiling,0.7,0.1,0.4,0.7,18,2018-04-19 11:13
3,,-0.475085675436,P280032823,86,40107.889649,03,CONVERSION,0.677701734726,True,,-0.00787954314529,0.0,-0.816605740095,0.239491461631,0.7,High Tech,160.24465535,0.0,l_MktPR,0.443371318141,N,38.3772267283,0.554697054513,,21.1610107011,20.1433723091,22.2100979675,23.292387669,24.4097790331,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.689921929925,0.679921929925,0.699921929925,0.709921929925,0.719921929925,0.699921929925,0.455237422849,0.44881723025,0.46188372834,0.468769561518,0.47590950076,0.46188372834,0.992022816941,0.02,0.0,1DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SCX,AMLYHYY,1DP,0.72,0.71,0.0,0.71,0.7,0.65,0.0,u_Ceiling,0.7,0.1,0.4,0.7,18,2018-04-19 11:13
4,,-0.984536995271,P280032823,86,40107.889649,03,CONVERSION,0.634620009832,True,,-0.00645082650092,0.0,-1.19062285724,0.148167515402,0.656450826501,High Tech,33420.0615319,0.0,l_MktPR,0.593256290623,N,4951.76748178,0.674605032499,,2827.40137391,2677.54838815,2984.50765967,3149.3591385,3322.49075723,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.64,0.63,0.65,0.66,0.67,0.65,0.248829176629,0.242781808964,0.255151078456,0.261765521312,0.268692047162,0.255151078456,0.988941631238,0.02,0.0,2DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SCX,AMLYHZC,2DA,0.7,0.64,0.0,0.666450826501,0.65,0.606450826501,1.0,u_Ceiling,0.65,0.1,0.4,0.65,33,2018-04-19 11:13
5,,-0.984536995271,P280032823,86,40107.889649,03,CONVERSION,0.634620009832,True,,-0.00645082650092,0.0,-1.19062285724,0.148167515402,0.656450826501,High Tech,33420.0615319,0.0,l_MktPR,0.593256290623,N,4951.76748178,0.674605032499,,2827.40137391,2677.54838815,2984.50765967,3149.3591385,3322.49075723,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.64,0.63,0.65,0.66,0.67,0.65,0.248829176629,0.242781808964,0.255151078456,0.261765521312,0.268692047162,0.255151078456,0.988941631238,0.02,0.0,2DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SCX,AMLYHZD,2DA,0.7,0.64,0.0,0.666450826501,0.65,0.606450826501,1.0,u_Ceiling,0.65,0.1,0.4,0.65,33,2018-04-19 11:13
6,,-0.984536995271,P280032823,86,40107.889649,03,CONVERSION,0.634620009832,True,,-0.00645082650092,0.0,-1.19062285724,0.148167515402,0.656450826501,High Tech,33420.0615319,0.0,l_MktPR,0.593256290623,N,4951.76748178,0.674605032499,,2827.40137391,2677.54838815,2984.50765967,3149.3591385,3322.49075723,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.64,0.63,0.65,0.66,0.67,0.65,0.248829176629,0.242781808964,0.255151078456,0.261765521312,0.268692047162,0.255151078456,0.988941631238,0.02,0.0,2DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SPB,AMLYHZE,2DM,0.7,0.64,0.0,0.666450826501,0.65,0.606450826501,1.0,u_Ceiling,0.65,0.1,0.4,0.65,44,2018-04-19 11:13
7,,-0.984536995271,P280032823,86,40107.889649,03,CONVERSION,0.634620009832,True,,-0.00645082650092,0.0,-1.19062285724,0.148167515402,0.656450826501,High Tech,33420.0615319,0.0,l_MktPR,0.593256290623,N,4951.76748178,0.674605032499,,2827.40137391,2677.54838815,2984.50765967,3149.3591385,3322.49075723,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.64,0.63,0.65,0.66,0.67,0.65,0.248829176629,0.242781808964,0.255151078456,0.261765521312,0.268692047162,0.255151078456,0.988941631238,0.02,0.0,2DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SPB,AMLYHZF,2DM,0.7,0.64,0.0,0.666450826501,0.65,0.606450826501,1.0,u_Ceiling,0.65,0.1,0.4,0.65,44,2018-04-19 11:13
8,,-0.394262658772,P280032823,86,40107.889649,03,CONVERSION,0.615375250463,True,,0.0,0.0,-1.72193830113,0.298962237818,0.599990006956,High Tech,0.00200624,0.0,l_MktPR,0.282097783568,N,0.00059979,0.425678226855,,0.000427515076822,0.00040869891603,0.000446915783532,0.000466914033121,0.000487522338765,0.131350698898,0.129541172961,0.133208260606,0.135118179246,0.13708512448,,0.589990006956,0.579990006956,0.599990006956,0.609990006956,0.619990006956,0.599990006956,0.546377510887,0.536075036098,0.55689326637,0.567622497287,0.578564805711,0.55689326637,0.982609259112,0.02,0.0,3DA,AIR,1766.72424636,1805.69660552,1725.54324073,1681.99280491,1635.89733365,,0.0,SCX,AMLYHZI,3DS,0.65,0.59,0.0,0.609990006956,0.6,0.549990006956,1.0,u_Ceiling,0.6,0.1,0.4,0.6,52,2018-04-19 11:13
9,,-0.353238551074,P280032823,86,40107.889649,03,CONVERSION,0.406077059229,True,,-0.0237616187072,0.0,-1.24035313974,0.280488770723,0.4661905093,High Tech,323.20638514,1.0,l_Prior,0.442428890593,E,90.6557616579,0.396772396093,,76.2823550354,73.9675854296,78.6513445425,81.0761801771,83.5585441064,0.148739178891,0.146646837951,0.150768336956,0.152726427702,0.154604830873,,0.432428890593,0.422428890593,0.442428890593,0.452428890593,0.462428890593,0.442428890593,0.431026164982,0.425721505782,0.436441416529,0.441970279904,0.447615865145,0.436441416529,0.996464729496,0.02,0.442428890593,GND_Com,GND,316.511994519,327.192806193,304.703506558,291.697479966,277.42248133,,0.0,ALL,AMLYHZH,GND,0.31,0.25,0.25,0.4761905093,0.46,0.4161905093,0.0,u_Ceiling,0.46,0.2,0.3,0.46,62,2018-04-19 11:13
10,,-0.353238551074,P280032823,86,40107.889649,03,CONVERSION,0.406077059229,True,,-0.0237616187072,0.0,-1.24035313974,0.280488770723,0.4661905093,High Tech,323.20638514,1.0,l_Prior,0.442428890593,I,90.6557616579,0.396772396093,,76.2823550354,73.9675854296,78.6513445425,81.0761801771,83.5585441064,0.148739178891,0.146646837951,0.150768336956,0.152726427702,0.154604830873,,0.432428890593,0.422428890593,0.442428890593,0.452428890593,0.462428890593,0.442428890593,0.431026164982,0.425721505782,0.436441416529,0.441970279904,0.447615865145,0.436441416529,0.996464729496,0.02,0.442428890593,GND_Com,GND,316.511994519,327.192806193,304.703506558,291.697479966,277.42248133,,0.0,ALL,AMLYHZG,GND,0.31,0.25,0.25,0.4761905093,0.46,0.4161905093,0.0,u_Ceiling,0.46,0.2,0.3,0.46,80,2018-04-19 11:13
11,,-0.353238551074,P280032823,86,40107.889649,03,CONVERSION,0.406077059229,True,,-0.0237616187072,0.0,-1.24035313974,0.280488770723,0.4661905093,High Tech,323.20638514,1.0,l_Prior,0.442428890593,N,90.6557616579,0.396772396093,,76.2823550354,73.9675854296,78.6513445425,81.0761801771,83.5585441064,0.148739178891,0.146646837951,0.150768336956,0.152726427702,0.154604830873,,0.432428890593,0.422428890593,0.442428890593,0.452428890593,0.462428890593,0.442428890593,0.431026164982,0.425721505782,0.436441416529,0.441970279904,0.447615865145,0.436441416529,0.996464729496,0.02,0.442428890593,GND_Com,GND,316.511994519,327.192806193,304.703506558,291.697479966,277.42248133,,0.0,SPB,AMLYHYZ,GND,0.5,0.485,0.0,0.4761905093,0.46,0.4161905093,0.0,u_Ceiling,0.46,0.2,0.3,0.46,94,2018-04-19 11:13
12,,-0.933746369262,P280032823,86,40107.889649,03,CONVERSION,0.418680082081,True,,-0.0341842066475,0.0,-3.08583685525,0.412608125485,0.494184206648,High Tech,5453.64969903,0.0,l_Prior,0.327057613169,N,2250.22017937,0.374403314004,,1066.69169419,1010.12390411,1125.92557189,1187.9014032,1252.6895645,0.148739178891,0.146646837951,0.150768336956,0.152726427702,0.154604830873,,0.45,0.44,0.46,0.47,0.48,0.46,0.369042008408,0.356191922224,0.382321467351,0.396032171535,0.410174062205,0.382321467351,0.769362005526,0.02,0.327057613169,GND_Resi,GND,316.511994519,327.192806193,304.703506558,291.697479966,277.42248133,,0.0,SCR,AMLYHZB,GND,0.42,0.36,0.0,0.504184206648,0.46,0.444184206648,1.0,u_Ceiling,0.46,0.2,0.3,0.46,99,2018-04-19 11:13
13,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYJBH,WFM,0.72,0.71,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,104,2018-04-19 11:13
14,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYJBH,WFM,0.72,0.71,0.71,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,104,2018-04-19 11:13
15,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYJBA,WWS,0.72,0.71,0.677,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,122,2018-04-19 11:13
16,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYHZZ,WWS,0.72,0.71,0.678,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,122,2018-04-19 11:13
17,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYJBF,WXP,0.72,0.71,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,133,2018-04-19 11:13
18,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYJBF,WXP,0.72,0.71,0.71,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,133,2018-04-19 11:13
19,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYHZV,WXS,0.72,0.71,0.71,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,2018-04-19 11:13
20,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYHZV,WXS,0.72,0.71,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,2018-04-19 11:13
21,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYHZU,WXS,0.72,0.71,0.71,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,2018-04-19 11:13
22,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYHZU,WXS,0.72,0.71,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,2018-04-19 11:13
23,,-0.394626413756,P280032823,86,40107.889649,03,CONVERSION,0.71006050649,True,,0.0,0.0,-0.616679523129,0.129606990036,0.7,High Tech,637.19101718,0.0,l_Prior,0.543942311933,E,82.5844098148,0.544925380412,,81.0044773357,77.1419244298,84.9671518786,89.0359146311,93.2173039254,0.287590736478,0.286828996027,0.288395487071,0.289248016579,0.290153596754,,0.71,0.7,0.72,0.73,0.74,0.72,0.47084245483,0.465636993218,0.476237275276,0.481834154911,0.487647091751,0.476237275276,1.0,0.0,0.543942311933,Export,IE,60.7930045558,63.537495017,57.9956040952,55.1426314324,52.2311974169,,0.0,ALL,AMLYJBE,WXS,0.72,0.71,0.76,0.71,0.71,0.65,1.0,u_Ceiling,0.72,0.1,0.55,0.72,151,2018-04-19 11:13
